10:57:51.153 |I| Core                           | RequestBuilder thread:6        | MsBuild process with Id = 10576
10:57:52.669 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.669 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEngine.TestRunner.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.670 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEngine.TestRunner.csproj
10:57:52.670 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEngine.TestRunner.csproj' with 1 target frameworks
10:57:52.671 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.671 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEditor.UI.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.671 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEditor.UI.csproj
10:57:52.671 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEditor.UI.csproj' with 1 target frameworks
10:57:52.673 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.673 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.PlasticSCM.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.673 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.PlasticSCM.Editor.csproj
10:57:52.673 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.PlasticSCM.Editor.csproj' with 1 target frameworks
10:57:52.676 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.676 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualScripting.Flow.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.676 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualScripting.Flow.csproj
10:57:52.676 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualScripting.Flow.csproj' with 1 target frameworks
10:57:52.678 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.678 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualScripting.Flow.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.678 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualScripting.Flow.Player.csproj
10:57:52.678 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualScripting.Flow.Player.csproj' with 1 target frameworks
10:57:52.681 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.682 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.682 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj
10:57:52.682 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.TestTools.CodeCoverage.Editor.OpenCover.Model.csproj' with 1 target frameworks
10:57:52.684 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.684 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.XR.Interaction.Toolkit.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.684 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.XR.Interaction.Toolkit.Player.csproj
10:57:52.684 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.XR.Interaction.Toolkit.Player.csproj' with 1 target frameworks
10:57:52.686 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.686 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.XR.Interaction.Toolkit.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.686 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.XR.Interaction.Toolkit.csproj
10:57:52.687 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.XR.Interaction.Toolkit.csproj' with 1 target frameworks
10:57:52.690 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.690 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.EditorCoroutines.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.690 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.EditorCoroutines.Editor.csproj
10:57:52.690 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.EditorCoroutines.Editor.csproj' with 1 target frameworks
10:57:52.707 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.707 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualScripting.Core.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.707 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualScripting.Core.Editor.csproj
10:57:52.707 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualScripting.Core.Editor.csproj' with 1 target frameworks
10:57:52.709 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.709 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.Mathematics.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.710 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.Mathematics.Player.csproj
10:57:52.710 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.Mathematics.Player.csproj' with 1 target frameworks
10:57:52.712 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.712 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.Settings.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.712 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.Settings.Editor.csproj
10:57:52.712 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.Settings.Editor.csproj' with 1 target frameworks
10:57:52.714 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.714 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.Mathematics.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.714 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.Mathematics.csproj
10:57:52.714 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.Mathematics.csproj' with 1 target frameworks
10:57:52.722 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.723 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualScripting.Flow.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.723 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualScripting.Flow.Editor.csproj
10:57:52.723 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualScripting.Flow.Editor.csproj' with 1 target frameworks
10:57:52.725 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.725 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'UnityEditor.SpatialTracking.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.725 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: UnityEditor.SpatialTracking.csproj
10:57:52.725 |I| Build                          | RequestBuilder thread:6        | Start build 'UnityEditor.SpatialTracking.csproj' with 1 target frameworks
10:57:52.726 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.726 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualStudio.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.726 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualStudio.Editor.csproj
10:57:52.726 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualStudio.Editor.csproj' with 1 target frameworks
10:57:52.727 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.727 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.InputSystem.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.727 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.InputSystem.csproj
10:57:52.727 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.InputSystem.csproj' with 1 target frameworks
10:57:52.745 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.746 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.InputSystem.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.746 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.InputSystem.Player.csproj
10:57:52.746 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.InputSystem.Player.csproj' with 1 target frameworks
10:57:52.747 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.748 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.Timeline.Editor.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.748 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.Timeline.Editor.csproj
10:57:52.748 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.Timeline.Editor.csproj' with 1 target frameworks
10:57:52.750 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.750 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualScripting.State.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.750 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualScripting.State.csproj
10:57:52.750 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualScripting.State.csproj' with 1 target frameworks
10:57:52.751 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.751 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'Unity.VisualScripting.State.Player.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
10:57:52.752 |I| BuildQueue                     | RequestBuilder thread:6        | Build immediately: Unity.VisualScripting.State.Player.csproj
10:57:52.752 |I| Build                          | RequestBuilder thread:6        | Start build 'Unity.VisualScripting.State.Player.csproj' with 1 target frameworks
10:57:52.758 |I| Build                          | RequestBuilder thread:6        | Targets for build: _CheckForInvalidConfigurationAndPlatform;CollectCentralPackageVersions;ResolveReferences;ResolveProjectReferences;ResolveAssemblyReferences;ResolveComReferences;ResolveNativeReferences;ResolveSdkReferences;ResolveFrameworkReferences;ResolvePackageDependenciesDesignTime;DesignTimeMarkupCompilation;Compile;CoreCompile;XamlMarkupCompilePass1
10:57:52.758 |I| ProjectModel                   | RequestBuilder thread:6        | Project 'JetBrains.Frontend.2021.2.csproj' has load-time sensitive targets: XamlMarkupCompilePass1
